,àÆêÏ,ë—çL,é∫óñ,îüäŸ,èHìc,ê∑â™,êÂë‰,éRå`,êVäÉ,ïüìá,ïxéR,í∑ñÏ,ã‡ëÚ,âFìsã{,ëOã¥,êÖåÀ,åFíJ,ïüà‰,í∂éq,ìåãû,çbï{,íπéÊ,èºç],â°ïl,äÚïå,ïFç™,ñºå√âÆ,ãûìs,ê√â™,í√,ê_åÀ,ëÂç„,â™éR,çLìá,çÇèº,òaâÃéR,ìøìá,â∫ä÷,èºéR,ïüâ™,ç≤âÍ,ëÂï™,åFñ{,í∑çË,é≠éôìá
0,2014-06-01,2014-05-29,2014-05-23,2014-05-19,2014-05-01,2014-05-08,2014-04-22,2014-05-01,2014-04-17,2014-04-18,2014-04-13,2014-05-01,2014-04-09,2014-04-10,2014-04-08,2014-04-07,2014-04-04,2014-04-09,2014-03-26,2014-03-27,2014-04-08,2014-04-03,2014-04-03,2014-03-28,2014-03-31,2014-04-08,2014-03-30,2014-03-31,2014-03-23,2014-03-31,2014-03-28,2014-03-29,2014-03-30,2014-03-28,2014-03-29,2014-03-27,2014-03-28,2014-03-24,2014-03-27,2014-03-21,2014-03-23,2014-03-26,2014-03-23,2014-03-20,2014-03-13
1,2015-05-22,2015-05-19,2015-05-09,2015-05-02,2015-04-19,2015-04-28,2015-04-14,2015-04-24,2015-04-09,2015-04-12,2015-04-08,2015-04-22,2015-04-04,2015-04-04,2015-04-01,2015-04-04,2015-03-30,2015-04-05,2015-03-26,2015-03-27,2015-03-31,2015-04-01,2015-04-01,2015-03-24,2015-03-29,2015-04-03,2015-03-28,2015-03-29,2015-03-20,2015-03-27,2015-03-23,2015-03-23,2015-03-29,2015-03-27,2015-03-26,2015-03-23,2015-03-23,2015-03-22,2015-03-25,2015-03-21,2015-03-23,2015-03-23,2015-03-22,2015-03-20,2015-03-16
2,2016-05-29,2016-05-28,2016-05-14,2016-05-10,2016-04-23,2016-04-30,2016-04-09,2016-04-19,2016-04-08,2016-04-06,2016-04-03,2016-04-17,2016-04-01,2016-04-02,2016-03-30,2016-04-01,2016-03-27,2016-04-02,2016-03-19,2016-03-21,2016-03-29,2016-03-30,2016-03-30,2016-03-19,2016-03-23,2016-03-31,2016-03-23,2016-03-23,2016-03-16,2016-03-24,2016-03-19,2016-03-19,2016-03-25,2016-03-22,2016-03-22,2016-03-19,2016-03-20,2016-03-19,2016-03-20,2016-03-18,2016-03-19,2016-03-19,2016-03-19,2016-03-17,2016-03-10
3,2017-05-31,2017-05-27,2017-05-18,2017-05-11,2017-04-27,2017-05-06,2017-04-16,2017-04-27,2017-04-13,2017-04-16,2017-04-09,2017-04-28,2017-04-07,2017-04-08,2017-04-06,2017-04-08,2017-04-01,2017-04-09,2017-03-24,2017-03-25,2017-04-06,2017-04-06,2017-04-04,2017-03-23,2017-04-02,2017-04-09,2017-04-01,2017-04-02,2017-03-21,2017-03-31,2017-03-27,2017-03-27,2017-04-02,2017-03-28,2017-03-27,2017-03-25,2017-03-25,2017-03-20,2017-03-24,2017-03-19,2017-03-23,2017-03-22,2017-03-23,2017-03-20,2017-03-15
4,2018-06-01,2018-05-30,2018-05-17,2018-05-15,2018-04-28,2018-05-05,2018-04-14,2018-04-25,2018-04-14,2018-04-11,2018-04-06,2018-04-21,2018-04-04,2018-04-02,2018-03-31,2018-04-01,2018-03-28,2018-04-07,2018-03-21,2018-03-26,2018-03-31,2018-04-02,2018-04-03,2018-03-23,2018-03-28,2018-04-04,2018-03-27,2018-03-28,2018-03-19,2018-03-28,2018-03-25,2018-03-25,2018-03-31,2018-03-28,2018-03-28,2018-03-25,2018-03-27,2018-03-25,2018-03-25,2018-03-21,2018-03-25,2018-03-26,2018-03-23,2018-03-20,2018-03-15
5,2019-05-30,2019-05-24,2019-05-17,2019-05-12,2019-04-24,2019-05-05,2019-04-13,2019-04-23,2019-04-09,2019-04-11,2019-04-04,2019-04-25,2019-03-31,2019-04-01,2019-03-28,2019-03-29,2019-03-26,2019-03-31,2019-03-16,2019-03-21,2019-03-27,2019-03-27,2019-03-27,2019-03-19,2019-03-22,2019-03-31,2019-03-22,2019-03-24,2019-03-13,2019-03-22,2019-03-19,2019-03-20,2019-03-26,2019-03-21,2019-03-21,2019-03-19,2019-03-19,2019-03-17,2019-03-19,2019-03-14,2019-03-16,2019-03-17,2019-03-16,2019-03-14,2019-03-08
6,2021-02-01,2020-05-29,2020-05-14,2020-05-09,2020-04-18,2020-05-02,2020-04-05,2020-04-18,2020-04-02,2020-04-04,2020-03-30,2020-04-20,2020-03-26,2020-03-27,2020-03-23,2020-03-25,2020-03-21,2020-03-28,2020-03-14,2020-03-17,2020-03-23,2020-03-24,2020-03-25,2020-03-14,2020-03-21,2020-03-28,2020-03-21,2020-03-22,2020-03-12,2020-03-20,2020-03-17,2020-03-18,2020-03-23,2020-03-19,2020-03-20,2020-03-17,2020-03-17,2020-03-14,2020-03-17,2020-03-13,2020-03-16,2020-03-16,2020-03-15,2020-03-12,2020-03-07
7,2021-05-27,2021-05-23,2021-05-15,2021-05-07,2021-04-17,2021-04-26,2021-04-04,2021-04-19,2021-04-03,2021-04-02,2021-03-30,2021-04-13,2021-03-26,2021-03-27,2021-03-25,2021-03-25,2021-03-21,2021-03-29,2021-03-14,2021-03-17,2021-03-21,2021-03-23,2021-03-22,2021-03-15,2021-03-20,2021-03-26,2021-03-20,2021-03-20,2021-03-11,2021-03-19,2021-03-16,2021-03-16,2021-03-21,2021-03-17,2021-03-17,2021-03-16,2021-03-16,2021-03-14,2021-03-15,2021-03-11,2021-03-13,2021-03-14,2021-03-12,2021-03-11,2021-03-06
8,2022-05-25,2022-05-22,2022-05-13,2022-05-08,2022-04-24,2022-05-03,2022-04-15,2022-04-25,2022-04-12,2022-04-13,2022-04-09,2022-04-23,2022-04-05,2022-04-06,2022-04-01,2022-04-07,2022-03-29,2022-04-08,2022-03-23,2022-03-27,2022-03-30,2022-04-04,2022-03-31,2022-03-24,2022-03-30,2022-04-06,2022-03-28,2022-03-29,2022-03-18,2022-03-27,2022-03-24,2022-03-24,2022-03-30,2022-03-26,2022-03-26,2022-03-24,2022-03-25,2022-03-21,2022-03-24,2022-03-19,2022-03-22,2022-03-22,2022-03-22,2022-03-19,2022-03-15
9,2023-05-23,2023-05-20,2023-05-06,2023-05-02,2023-04-15,2023-04-21,2023-04-04,2023-04-15,2023-04-03,2023-04-04,2023-03-29,2023-04-11,2023-03-26,2023-03-25,2023-03-23,2023-03-25,2023-03-21,2023-03-29,2023-03-14,2023-03-17,2023-03-23,2023-03-24,2023-03-24,2023-03-15,2023-03-20,2023-03-27,2023-03-20,2023-03-22,2023-03-13,2023-03-21,2023-03-18,2023-03-18,2023-03-23,2023-03-19,2023-03-21,2023-03-18,2023-03-19,2023-03-16,2023-03-17,2023-03-13,2023-03-15,2023-03-17,2023-03-15,2023-03-13,2023-03-08
10,2024-05-28,2024-05-23,2024-05-12,2024-05-05,2024-04-18,2024-04-24,2024-04-08,2024-04-17,2024-04-08,2024-04-09,2024-04-04,2024-04-17,2024-04-01,2024-04-01,2024-03-31,2024-03-31,2024-03-28,2024-04-02,2024-03-16,2024-03-21,2024-03-30,2024-03-29,2024-03-27,2024-03-18,2024-03-24,2024-03-31,2024-03-23,2024-03-26,2024-03-13,2024-03-23,2024-03-19,2024-03-20,2024-03-26,2024-03-20,2024-03-22,2024-03-18,2024-03-19,2024-03-16,2024-03-18,2024-03-14,2024-03-15,2024-03-16,2024-03-12,2024-03-12,2024-03-02
